timestamp,age,pollution_try_explain,use_selfimprovment_apps,use_enviroment_apps,use_enviroment_apps_exp,enviromental_app_features,reward,food,food_time,food_know,transport,transport_time,transport_know,pollution_fear,pollution_try
2020-12-03 14:03:03.116,24+,Αποφευγω τη χρήση μέσων για κοντινές αποστάσεις,"Ναι, έχω χρησιμοποιήσει εφαρμογές για γυμναστική.",Οχι αλλα θέλω,Επιβραβευση και παρακινηση ,Την πρόοδο σας σχετικα με τον αν έχετε μειώσει τους ρύπους σας ή οχι κατα την διάρκεια χρήσης της εφαρμογής,Πόντους,6,3,1,6,3,0,3,0
2020-12-03 14:20:31.278,18+,Αποφευγω τη χρήση μέσων για κοντινές αποστάσεις,Χρησιμοποιώ εφαρμογή με προγράμματα γυμναστικής στο σπίτι,Οχι και δεν θέλω,Επιβραβευση και παρακινηση ,"Να ""ποστάρετε"" φωτογραφίες με κινήσεις που κάνετε για να μειώσετε το περιβάλλον",Χρήματα,6,3,0,6,3,0,1,2
2020-12-03 14:22:27.605,24+,Καταναλώνω λιγοτερο ρεύμα,οχι -  self motivated,Οχι αλλα θέλω,Παρακολουθηση ρυπων πολης,Ειδήσεις σχετικά με το περιβάλλον,Χρήματα,15,2,0,15,2,0,2,2
2020-12-03 14:28:19.562,18+,Αποφευγω τη χρήση μέσων για κοντινές αποστάσεις,Ναι γυμναστικής και διατροφής ,Ναι και την χρησιμοποιώ,Υπήρχε προγραμμα κινητρο κ ενημέρωση ,Την πρόοδο σας σχετικα με τον αν έχετε μειώσει τους ρύπους σας ή οχι κατα την διάρκεια χρήσης της εφαρμογής,Όχι,6,3,0,6,3,0,2,2
2020-12-03 14:30:16.682,24+,Αποφευγω τη χρήση μέσων για κοντινές αποστάσεις,Δε χρησιμοποιώ γιατί με όσες έχω προσπαθήσει δεν κατάφεραν να με κερδίσουν.,Οχι αλλα θέλω,Παρακολουθηση ρυπων πολης,Την πρόοδο σας σχετικα με τον αν έχετε μειώσει τους ρύπους σας ή οχι κατα την διάρκεια χρήσης της εφαρμογής,Πόντους,15,3,0,15,3,0,1,0
2020-12-03 14:46:58.197,18+,"Θα ήθελα να ενημερωθώ, ώστε να αλλάξω τον τρόπο ζωής μου",Όχι γιατί κάνω μόνη μου ,Οχι και δεν θέλω,Επιβραβευση και παρακινηση ,Τα παραπάνω ,Πόντους,14,3,0,14,3,1,0,0
2020-12-03 14:51:52.451,18+,Αποφευγω τη χρήση μέσων για κοντινές αποστάσεις,Όχι δεν έχω ασχοληθεί και δεν έχω νιώσει την ανάγκη παρότρυνσης. Κάνω από μόνη μου.,Οχι αλλα θέλω,Επιβραβευση και παρακινηση ,Την πρόοδο σας σχετικα με τον αν έχετε μειώσει τους ρύπους σας ή οχι κατα την διάρκεια χρήσης της εφαρμογής,Όχι,6,3,0,6,3,1,2,2
2020-12-03 14:52:48.777,30+,'Οχι,Περπάτημα,Οχι αλλα θέλω,Όχι δεν έτυχε,Ειδήσεις σχετικά με το περιβάλλον,Όχι,10,3,0,10,3,1,2,0
2020-12-03 14:53:21.742,24+,'Οχι,Ναι!Εφαρμογή για τρέξιμο,Οχι αλλα θέλω,Όχι δεν έτυχε,Την πρόοδο σας σχετικα με τον αν έχετε μειώσει τους ρύπους σας ή οχι κατα την διάρκεια χρήσης της εφαρμογής,Όχι,15,2,0,15,2,1,1,3
2020-12-03 14:59:53.851,30+,"Θα ήθελα να ενημερωθώ, ώστε να αλλάξω τον τρόπο ζωής μου",Όχι λόγω έλλειψης χρόνου,Οχι αλλα θέλω,Όχι δεν έτυχε,"Να μπορείτε να συνδεθείτε με τους ""φίλους"" σας",Όχι,6,3,0,6,3,0,3,0
2020-12-03 15:00:02.949,30+,'Οχι,"Κάνω τρέξιμο 4 φορές την βδομαδα, και χρησιμοποιώ κάποιες εφαρμογές με ασκήσεις στοωσπιτι",Οχι αλλα θέλω,Όχι δεν έτυχε,Ειδήσεις σχετικά με το περιβάλλον,Πόντους,12,3,0,12,3,1,2,0
